input,subject,relation,object
从图的角度来看，知识图谱是一个语义网络，即一种用互联的节点和弧表示知识的一个结构[1]。,知识图谱,实现,语义网络
语义网络中的语义主要体现在图中边的含义。,语义网络中的语义,实现,图中边的含义
W3C采用了以描述逻辑为逻辑基础的本体语言OWL作为定义Web术语的标准语言。,OWL,实现,定义Web术语的标准语言
本章将对知识表示的常见方法进行介绍，并且讨论如何用这些知识表示方法对知识进行建模。,本章,实现,介绍知识表示的常见方法
本章将对知识表示的常见方法进行介绍，并且讨论如何用这些知识表示方法对知识进行建模。,本章,实现,讨论如何用这些知识表示方法对知识进行建模
●用于高效计算的数据结构（A_KR_is_a_medium_for_Efficient_Computation），即知识表示也是一种用于高效计算的数据结构。,知识表示的五大用途或特点,实现,用于高效计算的数据结构
有关知识表示的研究可以追溯到人工智能的早期研究。,有关知识表示的研究,实现,人工智能的早期研究
传统的专家系统通常包含知识库和推理引擎（InferenceEngine）两个核心模块。,传统的专家系统,实现,知识库和推理引擎（InferenceEngine）两个核心模块
为了解决这一问题，人们开始研究具有较好的理论模型基础和算法复杂度的知识表示框架。,OWL_2_QL,实现,较好的理论模型基础和算法复杂度的知识表示框架
描述逻辑是目前大多数本体语言（如OWL）的理论基础。,本体语言,实现,描述逻辑
由此催生了采用连续向量的方式来表示知识的研究。,连续向量的方式来表示知识,实现,采用连续向量的方式来表示知识的研究
基于向量的方式表示知识的研究由来已有。,基于向量的方式表示知识的研究,实现,表示知识的研究
通过嵌入将知识图谱中的实体和关系投射到一个低维的连续向量空间，可以为每一个实体和关系学习出一个低维度的向量表示。,向量空间,实现,将知识图谱中的实体和关系投射到一个低维的连续向量空间
如图2-1所示为基于离散符号的知识表示与基于连续向量的知识表示对比。,基于离散符号的知识表示,实现,基于连续向量的知识表示对比
与此类似，人工智能系统需要获取并运用知识。,人工智能系统,实现,获取并运用知识
Ø图灵奖得主（x）是一个否定公式（Negated_Formula）。,图灵奖得主（x）,实现,一个否定公式（Negated_Formula）
在上面的例子中，若x为John_MaCarthy，图灵奖得主（x）为第一个命题p。,图灵奖得主,实现,第一个命题p
若x为Tim_Berners-Lee，图灵奖得主（x）为第二个命题q。,图灵奖得主,实现,第二个命题q
1.一阶谓词逻辑优点●结构性。,一阶谓词逻辑优点,实现,结构性
●严密性。,严密性,实现,SPO三元组
●可实现性。,SPO,实现,可实现性
可以转换为计算机内部形式，以便用算法实现。,概念/SPO,实现,转换为计算机内部形式，以便用算法实现。
一阶逻辑的逻辑归结只是半可判定性的。,一阶逻辑,实现,半可判定性
一个子句是文字的析取。,子句,实现,文字的析取
例如，Øp1∨…∨Øpn∨_q是一个霍恩子句，它可以被等价地写为（p1∧…∧pn）→q。,Øp1∨…∨Øpn∨_q,实现,等价地写为（p1∧…∧pn）→q
Alfred_Horn于1951年撰文指出这种子句的重要性。,Alfred_Horn,实现,指出这种子句的重要性
霍恩逻辑（Horn_Logic）是一阶逻辑的子集。,霍恩逻辑,实现,一阶逻辑
基于霍恩逻辑的知识库是一个霍恩规则的集合。,基于霍恩逻辑的知识库,实现,霍恩规则的集合
例如，→图灵奖得主（Tim（Tim_Berners-Lee）。,图灵奖得主,实现,Tim（Tim_Berners-Lee）
例如，→图灵奖得主（Tim（Tim_Berners-Lee）。,图灵奖得主,属于,Tim_Berners-Lee
1.霍恩逻辑的优点●结构性。,霍恩逻辑的优点,实现,结构性
●严密性。,严密性,实现,SPO三元组
●易实现性。,易实现性,实现,概念/产品
可判定，可以转换为计算机内部形式，以便用算法实现。,OOA,实现,可判定
2.霍恩逻辑的缺点●有限的表达能力。,霍恩逻辑的缺点,实现,有限的表达能力
语义网络的单元是三元组：（节点1，联想弧，节点2）。,语义网络的单元,实现,三元组
例如（Tim_Berners-Lee，类型，图灵奖得主）和（Tim_Berners-Lee，发明，互联网）是三元组。,Tim_Berners-Lee,实现,图灵奖得主
例如（Tim_Berners-Lee，类型，图灵奖得主）和（Tim_Berners-Lee，发明，互联网）是三元组。,Tim_Berners-Lee,实现,互联网
