input,subject,subject_type,data/object,relation,object,object_type
第2章知识图谱表示与建模漆桂林东南大学，潘志霖阿伯丁大学，陈华钧浙江大学知识图谱表示（Knowledge_Graph_Representation）指的是用什么语言对知识图谱进行建模，从而可以方便知识计算。,知识图谱表示,知识表示,,实现,建模知识图谱,知识表示
第2章知识图谱表示与建模漆桂林东南大学，潘志霖阿伯丁大学，陈华钧浙江大学知识图谱表示（Knowledge_Graph_Representation）指的是用什么语言对知识图谱进行建模，从而可以方便知识计算。,知识图谱表示,知识表示,属性,英文名,Knowledge_Graph_Representation,文本
从图的角度来看，知识图谱是一个语义网络，即一种用互联的节点和弧表示知识的一个结构[1]。,知识图谱,知识图谱,,属于,语义网络,知识图谱
从图的角度来看，知识图谱是一个语义网络，即一种用互联的节点和弧表示知识的一个结构[1]。,语义网络,知识图谱,属性,被定义为,一种用互联的节点和弧表示知识的一个结构,文本
语义网络中的节点可以代表一个概念（concept）、一个属性（attribute）、一个事件（event）或者一个实体（entity）；而弧表示节点之间的关系，弧的标签指明了关系的类型。,节点,知识图谱,属性,内容,概念,文本
语义网络中的节点可以代表一个概念（concept）、一个属性（attribute）、一个事件（event）或者一个实体（entity）；而弧表示节点之间的关系，弧的标签指明了关系的类型。,节点,知识图谱,属性,内容,属性,文本
语义网络中的节点可以代表一个概念（concept）、一个属性（attribute）、一个事件（event）或者一个实体（entity）；而弧表示节点之间的关系，弧的标签指明了关系的类型。,节点,知识图谱,属性,内容,事件,文本
语义网络中的节点可以代表一个概念（concept）、一个属性（attribute）、一个事件（event）或者一个实体（entity）；而弧表示节点之间的关系，弧的标签指明了关系的类型。,节点,知识图谱,属性,内容,实体,文本
语义网络中的语义主要体现在图中边的含义。,语义网络中的语义,知识图谱,,来源,边的含义,知识图谱
为了给这些边赋予语义，研究人员提出了术语语言（Terminological_Language），并最终提出了描述逻辑（Description_Logic），描述逻辑是一阶谓词逻辑的一个子集，推理复杂度是可判定的。,描述逻辑,知识图谱,,属于,一阶谓词逻辑,知识图谱
为了给这些边赋予语义，研究人员提出了术语语言（Terminological_Language），并最终提出了描述逻辑（Description_Logic），描述逻辑是一阶谓词逻辑的一个子集，推理复杂度是可判定的。,描述逻辑,知识图谱,属性,英文名,Description_Logic,文本
为了给这些边赋予语义，研究人员提出了术语语言（Terminological_Language），并最终提出了描述逻辑（Description_Logic），描述逻辑是一阶谓词逻辑的一个子集，推理复杂度是可判定的。,描述逻辑,知识图谱,属性,目标,给边赋予语义,文本
W3C采用了以描述逻辑为逻辑基础的本体语言OWL作为定义Web术语的标准语言。,OWL,知识表示,,属于,定义Web术语的标准语言,知识表示
W3C采用了以描述逻辑为逻辑基础的本体语言OWL作为定义Web术语的标准语言。,OWL,知识表示,属性,被定义为,描述逻辑为逻辑基础的本体语言,文本
