input,subject,subject_type,data/object,relation,object,object_type
第3章知识存储王鑫天津大学随着知识图谱规模的日益增长，数据管理愈加重要。,知识存储,知识存储,,实现,知识图谱数据管理,文本
一方面，以文件形式保存的知识图谱显然无法满足用户的查询、检索、推理、分析及各种应用需求；另一方面，传统数据库的关系模型与知识图谱的图模型之间存在显著差异，关系数据库无法有效地管理大规模知识图谱数据。,知识图谱,知识图谱,,包含,数据库,知识图谱
为了更好地进行三元组数据的存储，语义万维网领域发展出专门存储RDF数据的三元组库；数据库领域发展出用于管理属性图的图数据库。,三元组数据库,知识存储,属性,作用,存储RDF数据,文本
3.1知识图谱数据库基本知识本节首先介绍目前表示知识图谱的两种主要图数据模型：RDF图和属性图。,知识图谱数据库,知识存储,属性,作用,目前表示知识图谱的两种主要图数据模型,文本
3.1.1知识图谱数据模型从数据模型角度来看，知识图谱本质上是一种图数据。,知识图谱,知识图谱,,属于,图数据,知识图谱
知识图谱数据模型的数学基础源于有着近300年历史的数学分支——图论。,数据模型,知识图谱,,来源,图论,知识图谱
"在图论中，图是二元组G=（V,E），其中V是节点集合，E是边集合。",图,知识存储,属性,被定义为,"二元组G=（V,E）",文本
知识图谱数据模型基于图论中图的定义，用节点集合表示实体，用边集合表示实体间的联系，这种一般和通用的数据表示恰好能够自然地刻画现实世界中事物的广泛联系。,数据模型,知识图谱,,来源,图的定义,知识图谱
1.RDF图RDF是W3C制定的在语义万维网上表示和交换机器可理解信息的标准数据模型[1]。,RDF,知识表示,属性,被定义为,W3C制定的在语义万维网上表示和交换机器可理解信息的标准数据模型,文本
"在RDF三元组集合中，每个Web资源具有一个HTTPURI作为其唯一的id；一个RDF图定义为三元组(s,p,o)的有限集合；每个三元组代表一个陈述句，其中s是主语，p是谓语，o是宾语；(s,p,o)表示资源s与资源o之间具有联系p，或表示资源s具有属性p且其取值为o。",RDF三元组,知识表示,,属于,RDF,知识表示
"在RDF三元组集合中，每个Web资源具有一个HTTPURI作为其唯一的id；一个RDF图定义为三元组(s,p,o)的有限集合；每个三元组代表一个陈述句，其中s是主语，p是谓语，o是宾语；(s,p,o)表示资源s与资源o之间具有联系p，或表示资源s具有属性p且其取值为o。",RDF三元组,知识表示,属性,被定义为,"(s,p,o)的有限集合",文本
实际上，RDF三元组集合即为图中的有向边集合。,RDF三元组集合,知识表示,属性,被定义为,图中的有向边集合,文本
节点属性可用三元组表示，这类三元组的宾语称为字面量，即图中的矩形。,节点属性,知识表示,,来源,RDF三元组,知识表示
边上的属性表示起来稍显烦琐，最常见的是利用RDF中一种叫作“具体化”（reification）的技术[2]，需要引入额外的点表示整个三元组，将边属性表示为以该节点为主语的三元组。,边上的属性,知识表示,,来源,具体化技术,知识表示
边上的属性表示起来稍显烦琐，最常见的是利用RDF中一种叫作“具体化”（reification）的技术[2]，需要引入额外的点表示整个三元组，将边属性表示为以该节点为主语的三元组。,边上的属性,知识表示,属性,英文名,reification,文本
图3-2RDF图中边属性的表示2.属性图属性图可以说是目前被图数据库业界采纳最广的一种图数据模型[3]。,属性图,知识表示,属性,内容,目前被图数据库业界采纳最广的一种图数据模型[3]。,文本
图3-3给出的属性图不仅表达了RDF图的全部数据，而且还增加了边上的“权重”属性。,属性图,知识表示,,实现,RDF图,知识表示
图3-3给出的属性图不仅表达了RDF图的全部数据，而且还增加了边上的“权重”属性。,属性图,知识表示,,实现,RDF三元组,知识表示
目前，RDF图上的查询语言是SPARQL；属性图上的查询语言常用的是Cypher和Gremlin。,SPARQL,知识图谱项目,属性,被定义为,RDF图上的查询语言,文本
目前，RDF图上的查询语言是SPARQL；属性图上的查询语言常用的是Cypher和Gremlin。,SPARQL,知识图谱项目,,属于,查询语言,知识图谱项目
目前，RDF图上的查询语言是SPARQL；属性图上的查询语言常用的是Cypher和Gremlin。,Cypher,知识图谱项目,,实现,属性图,知识表示
1.SPARQLSPARQL是W3C制定的RDF图数据的标准查询语言[4]。,SPARQL,知识图谱项目,属性,被定义为,W3C制定的RDF图数据的标准查询语言,文本
SPARQL从语法上借鉴了SQL，同样属于声明式查询语言。,SPARQL,知识图谱项目,属性,内容,声明式查询语言,文本
最新的SPARQL1.1版本为有效查询RDF图专门设计了三元组模式、子图模式、属性路径等多种查询机制。,SPARQL1.1,知识图谱项目,属性,作用,查询RDF图专门设计了三元组模式、子图模式、属性路径等多种查询机制,文本
几乎全部的RDF三元组数据库都实现了SPARQL语言。,RDF三元组数据库,知识表示,,实现,SPARQL语言,知识图谱项目
三元组模式查询是最基本的SPARQL查询。,SPARQL查询,知识图谱项目,,包含,三元组模式查询,知识表示
（2）查询程序员张三认识的其他程序员参加的项目输出：说明：这是由两个三元组模式组成的一个基本图模式（Basic_Graph_Pattern）查询，简称为BGP查询。,BGP查询,知识图谱项目,属性,被定义为,两个三元组模式组成的一个基本图模式（Basic_Graph_Pattern）查询，简称为BGP查询。,文本
