input,subject,relation,object
领域知识图谱又称为行业知识图谱或垂直知识图谱，通常面向某一特定领域。,领域知识图谱,被定义为,面向某一特定领域
图9-1领域知识图谱生命周期9.1.1领域知识建模知识建模是建立知识图谱的概念模式的过程，相当于关系数据库的表结构定义。,领域知识建模,被定义为,建立知识图谱的概念模式的过程
知识建模通常采用两种方式：一种是自顶向下（Top-Down）的方法，即首先为知识图谱定义数据模式，数据模式从最顶层概念构建，逐步向下细化，形成结构良好的分类学层次，然后再将实体添加到概念中。,知识建模,被定义为,自顶向下（Top-Down）的方法
另一种则是自底向上（Bottom-Up）的方法，即首先对实体进行归纳组织，形成底层概念，然后逐步往上抽象，形成上层概念。,自底向上,被定义为,首先对实体进行归纳组织，形成底层概念，然后逐步往上抽象，形成上层概念
知识存储方案的优劣会直接影响查询的效率，同时也需要结合知识应用场景进行良好的设计。,知识存储方案的优劣,被定义为,影响查询的效率
在单一式存储中，可以通过三元组、属性表或者垂直分割等方式进行知识的存储[3]。,单一式存储,被定义为,通过三元组、属性表或者垂直分割等方式进行知识的存储
其中，三元组的存储方式较为直观，但在进行连接查询时开销巨大[4]。,三元组的存储方式,被定义为,在进行连接查询时开销巨大
属性表指基于主语的类型划分数据表，其缺点是不利于缺失属性的查询[5]。,属性表的缺点,被定义为,基于主语的类型划分数据表
垂直分割指基于谓词进行数据的划分，其缺点是数据表过多，且写操作的代价比较大[6]。,垂直分割,被定义为,基于谓词进行数据的划分
对于知识存储介质的选择，可以分为原生（Neo4j、AllegroGraph等）和基于现有数据库（MySQL、Mongo等）两类。,知识存储介质的选择,被定义为,原生数据库
对于知识存储介质的选择，可以分为原生（Neo4j、AllegroGraph等）和基于现有数据库（MySQL、Mongo等）两类。,知识存储介质的选择,被定义为,基于现有数据库
原生存储的优点是其本身已经提供了较为完善的图查询语言或算法的支持，但不支持定制，灵活程度不高，对于复杂节点等极端数据情况的表现非常差。,原生存储的优点,被定义为,本身已经提供了较为完善的图查询语言或算法的支持，但不支持定制，灵活程度不高，对于复杂节点等极端数据情况的表现非常差
因此，有了基于现有数据库的自定义方案，这样做的好处是自由程度高，可以根据数据特点进行知识的划分、索引的构建等，但增加了开发和维护成本。,基于现有数据库的自定义方案,被定义为,根据数据特点进行知识的划分、索引的构建
因此，如何根据自身知识的特点选择知识存储方案，或者进行存储方案的结合，以满足针对知识的应用需要，是知识存储过程中需要解决的关键问题。,知识存储方案的结合,被定义为,根据自身知识的特点选择知识存储方案
9.1.3知识抽取知识抽取是指从不同来源、不同数据中进行知识提取，形成知识并存入知识图谱的过程。,知识抽取,被定义为,从不同来源、不同数据中进行知识提取，形成知识并存入知识图谱的过程。
