input,subject,relation,object
这样一来，即使在同一个领域内也往往存在着大量的本体。,本体,属于,同一个领域内也往往存在着大量的本体
这样一来，即使在同一个领域内也往往存在着大量的本体。,本体,实现,在同一领域内也往往存在着大量的本体
这样一来，即使在同一个领域内也往往存在着大量的本体。,本体,中文名,本体
然而，如果不同的系统采用的本体是异构的，它们之间的信息交互便无法正常进行。,本体,属于,异构的系统之间的信息交互
然而，如果不同的系统采用的本体是异构的，它们之间的信息交互便无法正常进行。,本体,实现,不同的系统采用的本体是异构的，它们之间的信息交互便无法正常进行
然而，如果不同的系统采用的本体是异构的，它们之间的信息交互便无法正常进行。,本体,中文名,本体
在实际的知识图谱应用中，本体异构造成了大量的信息交互问题。,本体异构,属于,信息交互问题
在实际的知识图谱应用中，本体异构造成了大量的信息交互问题。,本体异构,实现,大量的信息交互问题
因此，解决本体异构、消除应用系统间的互操作障碍是很多知识图谱应用面临的关键问题之一。,知识图谱应用,属于,解决本体异构、消除应用系统间的互操作障碍
因此，解决本体异构、消除应用系统间的互操作障碍是很多知识图谱应用面临的关键问题之一。,知识图谱应用,实现,很多知识图谱应用面临的关键问题之一
因此，解决本体异构、消除应用系统间的互操作障碍是很多知识图谱应用面临的关键问题之一。,知识图谱应用,中文名,本体异构
另一方面，知识图谱中的大量实例也存在异构问题，同名实例可能指代不同的实体，不同名实例可能指代同一个实体，大量的共指问题会给知识图谱的应用造成负面影响。,知识图谱中的实例,属于,异构问题
另一方面，知识图谱中的大量实例也存在异构问题，同名实例可能指代不同的实体，不同名实例可能指代同一个实体，大量的共指问题会给知识图谱的应用造成负面影响。,知识图谱,实现,同名实例可能指代不同的实体
另一方面，知识图谱中的大量实例也存在异构问题，同名实例可能指代不同的实体，不同名实例可能指代同一个实体，大量的共指问题会给知识图谱的应用造成负面影响。,知识图谱中的实例,中文名,同名实例可能指代不同的实体
因此，知识图谱应用还需要解决实例层的异构问题。,知识图谱应用,属于,实例层异构问题
因此，知识图谱应用还需要解决实例层的异构问题。,知识图谱应用,实现,实例层异构问题
知识融合是解决知识图谱异构问题的有效途径。,知识融合,属于,解决知识图谱异构问题的有效途径
知识融合是解决知识图谱异构问题的有效途径。,知识融合,实现,解决知识图谱异构问题的有效途径
知识融合是解决知识图谱异构问题的有效途径。,知识融合,中文名,解决知识图谱异构问题的有效途径
实际上，针对模型之间的异构问题的研究早在面向对象建模和数据库建模领域中就已经开展了[1]。,面向对象建模,属于,针对模型之间的异构问题的研究
实际上，针对模型之间的异构问题的研究早在面向对象建模和数据库建模领域中就已经开展了[1]。,面向对象建模和数据库建模领域,实现,针对模型之间的异构问题的研究
实际上，针对模型之间的异构问题的研究早在面向对象建模和数据库建模领域中就已经开展了[1]。,面向对象建模,中文名,针对模型之间的异构问题的研究
实际上，针对模型之间的异构问题的研究早在面向对象建模和数据库建模领域中就已经开展了[1]。,面向对象和数据库建模领域,中文名,针对模型之间的异构问题的研究
与这些模型相似，知识图谱之间的不匹配正是造成知识图谱异构的直接原因。,知识图谱之间的不匹配,属于,造成知识图谱异构
与这些模型相似，知识图谱之间的不匹配正是造成知识图谱异构的直接原因。,知识图谱,实现,异构
与这些模型相似，知识图谱之间的不匹配正是造成知识图谱异构的直接原因。,知识图谱之间的不匹配,中文名,造成知识图谱异构
不同的时期都存在着几种流行的语言，如早期有Ontolingua和Loom等本体语言，近年则有DAML+OIL、RDF(S)、OWL和OWL2等。,本体语言,属于,早期流行的语言
