input,subject,subject_type,data/object,relation,object,object_type
图3-27Blazegraph的Web用户界面8.商业RDF三元组数据库StardogStardog是由美国Stardog_Union公司开发的RDF三元组数据库，其首个公开发布版本是2012年2月发布的Stardog_0.9。,Stardog,知识图谱项目,属性,创建者,Stardog_Union公司,人物/实验室
Neo4j基于属性图模型，其存储管理层为属性图结构中的节点、节点属性、边、边属性等设计了专门的存储方案。,Neo4j,知识图谱项目,,属于,原生图数据库,知识存储
Neo4j基于属性图模型，其存储管理层为属性图结构中的节点、节点属性、边、边属性等设计了专门的存储方案。这使得Neo4j在存储层对于图数据的存取效率天生就优于关系数据库。同时，Neo4j还具备OLTP数据库必需的ACID事务处理功能。,Neo4j,知识图谱项目,属性,特点,存储层对于图数据的存取效率天生就优于关系数据库；具备OLTP数据库必需的ACID事务处理功能,文本
3.图数据库OrientDBOrientDB对于数据模式的支持也相对灵活，可以管理无模式数据（Schema-less），也可以像关系数据库那样定义完整的模式（Schema-full），还可以适应介于两者之间的混合模式（Schema-mixed）数据。,OrientDB,知识图谱项目,,属于,原生图数据库,知识存储
3.图数据库OrientDBOrientDB对于数据模式的支持也相对灵活，可以管理无模式数据（Schema-less），也可以像关系数据库那样定义完整的模式（Schema-full），还可以适应介于两者之间的混合模式（Schema-mixed）数据。,OrientDB,知识图谱项目,属性,特点,对于数据模式的支持也相对灵活，可以管理无模式数据（Schema-less），也可以像关系数据库那样定义完整的模式（Schema-full），还可以适应介于两者之间的混合模式（Schema-mixed）数据,文本
,Cayley,知识图谱项目,,属于,原生图数据库,知识存储
虽然不同图数据库的具体存储方案各有差异，但一般认为具有“无索引邻接”特性（Index-FreeAdjacency）的图数据库才称为原生图数据库[35]。,原生图数据库,知识存储,属性,被定义为,具有“无索引邻接”特性（Index-FreeAdjacency）的图数据库,文本
虽然不同图数据库的具体存储方案各有差异，但一般认为具有“无索引邻接”特性（Index-FreeAdjacency）的图数据库才称为原生图数据库[35]。,原生图数据库,知识存储,属性,特点,无索引邻接,文本
,原生图数据库,知识存储,,等价,实现无索引邻接的图数据库,知识存储
在实现了“无索引邻接”的图数据库中，每个节点维护着指向其邻接节点的直接引用，这相当于每个节点都可看作是其邻接节点的一个“局部索引”，用其查找邻接节点比使用“全局索引”更能节省时间。,实现无索引邻接的图数据库,知识存储,属性,特点,每个节点维护着指向其邻接节点的直接引用，这相当于每个节点都可看作是其邻接节点的一个“局部索引”，用其查找邻接节点比使用“全局索引”更能节省时间。,文本
,知识存储关键技术,知识存储,,包含,知识图谱数据库的存储,知识存储
,知识存储关键技术,知识存储,,包含,知识图谱数据库的索引,知识存储
3.3.2知识图谱数据库的索引图数据上的索引一种是对节点或边上属性数据的索引，一种是对图结构的索引；前者可应用关系数据库中已有的B+树索引技术直接实现，而后者仍是业界没有达成共识的、开放的研究问题。,知识图谱数据库的索引,知识存储,,包含,属性数据的索引,知识存储
3.3.2知识图谱数据库的索引图数据上的索引一种是对节点或边上属性数据的索引，一种是对图结构的索引；前者可应用关系数据库中已有的B+树索引技术直接实现，而后者仍是业界没有达成共识的、开放的研究问题。,知识图谱数据库的索引,知识存储,,包含,图结构的索引,知识存储
2.图结构索引图结构索引是为图数据中的点边结构信息建立索引的方法。,图结构索引,知识存储,属性,被定义为,图数据中的点边结构信息建立索引的方法,文本
大体上，图结构索引分为“基于路径的”和“基于子图的”两种。,图结构索引,知识存储,,包含,基于路径的图索引,知识存储
大体上，图结构索引分为“基于路径的”和“基于子图的”两种。,图结构索引,知识存储,,包含,基于子图的索引,知识存储
一种典型的基于路径的图索引叫作GraphGrep[36]。,GraphGrep,知识图谱项目,,属于,基于路径的图索引,知识存储
这种索引将图中长度小于或等于一个固定长度的全部路径构建为索引结构。,GraphGrep,知识图谱项目,属性,方法,将图中长度小于或等于一个固定长度的全部路径构建为索引结构,文本
基于子图的索引可以看作是基于路径索引的一般化形式，是将图数据中的某些子图结构信息作为关键字，将该子图的实例数据作为值而构建的索引结构。,基于子图的索引,知识存储,属性,方法,将图数据中的某些子图结构信息作为关键字，将该子图的实例数据作为值而构建的索引结构,文本
