input,subject,relation,object
为了更好地进行三元组数据的存储，语义万维网领域发展出专门存储RDF数据的三元组库；数据库领域发展出用于管理属性图的图数据库。,三元组库,包含,存储RDF数据
为了更好地进行三元组数据的存储，语义万维网领域发展出专门存储RDF数据的三元组库；数据库领域发展出用于管理属性图的图数据库。,图数据库,包含,管理属性图
虽然目前没有一种数据库系统被公认为具有主导地位的知识图谱数据库，但可以预见，随着三元组库和图数据库的相互融合发展，知识图谱的存储和数据管理手段将愈加丰富和强大。,知识图谱数据库,包含,三元组库
虽然目前没有一种数据库系统被公认为具有主导地位的知识图谱数据库，但可以预见，随着三元组库和图数据库的相互融合发展，知识图谱的存储和数据管理手段将愈加丰富和强大。,知识图谱数据库,包含,图数据库
3.1知识图谱数据库基本知识本节首先介绍目前表示知识图谱的两种主要图数据模型：RDF图和属性图。,知识图谱数据库,包含,RDF图
3.1知识图谱数据库基本知识本节首先介绍目前表示知识图谱的两种主要图数据模型：RDF图和属性图。,知识图谱数据库,包含,属性图
3.1.1知识图谱数据模型从数据模型角度来看，知识图谱本质上是一种图数据。,知识图谱,包含,图数据
不同领域的知识图谱均须遵循相应的数据模型。,知识图谱,包含,数据模型
知识图谱数据模型的数学基础源于有着近300年历史的数学分支——图论。,知识图谱数据模型,包含,图论
"在图论中，图是二元组G=（V,E），其中V是节点集合，E是边集合。",图,包含,V
"在图论中，图是二元组G=（V,E），其中V是节点集合，E是边集合。",图,包含,E
知识图谱数据模型基于图论中图的定义，用节点集合表示实体，用边集合表示实体间的联系，这种一般和通用的数据表示恰好能够自然地刻画现实世界中事物的广泛联系。,知识图谱数据模型,包含,节点集合表示实体
知识图谱数据模型基于图论中图的定义，用节点集合表示实体，用边集合表示实体间的联系，这种一般和通用的数据表示恰好能够自然地刻画现实世界中事物的广泛联系。,知识图谱数据模型,包含,边集合表示实体间的联系
1.RDF图RDF是W3C制定的在语义万维网上表示和交换机器可理解信息的标准数据模型[1]。,RDF,包含,在语义万维网上表示和交换机器可理解信息的标准数据模型
实际上，RDF三元组集合即为图中的有向边集合。,RDF三元组集合,包含,图中的有向边集合
图3-1RDF图示例值得注意的是，RDF图对于节点和边上的属性没有内置的支持。,RDF图,包含,节点和边上的属性
节点属性可用三元组表示，这类三元组的宾语称为字面量，即图中的矩形。,节点属性,包含,三元组
边上的属性表示起来稍显烦琐，最常见的是利用RDF中一种叫作“具体化”（reification）的技术[2]，需要引入额外的点表示整个三元组，将边属性表示为以该节点为主语的三元组。,边上的属性,包含,利用RDF中一种叫作“具体化”（reification）的技术
例如在图3-2中，引入节点ex:participate代表三元组(ex:zhangsan，参加，ex:graphdb)，该节点通过RDF内置属性rdf:subject、rdf:predicate和rdf:object分别与代表的三元组的主语、谓语和宾语建立起联系，这样三元组(ex:participate，权重，0.4)就实现了为原三元组增加边属性的效果。,ex:participate,包含,为原三元组增加边属性的效果
图3-2RDF图中边属性的表示2.属性图属性图可以说是目前被图数据库业界采纳最广的一种图数据模型[3]。,属性图,包含,目前被图数据库业界采纳最广的一种图数据模型
属性图由节点集和边集组成，且满足如下性质：（1）每个节点具有唯一的id；（2）每个节点具有若干条出边；（3）每个节点具有若干条入边；（4）每个节点具有一组属性，每个属性是一个键值对；（5）每条边具有唯一的id；（6）每条边具有一个头节点；（7）每条边具有一个尾节点；（8）每条边具有一个标签，表示联系；（9）每条边具有一组属性，每个属性是一个键值对。,属性图的性质,包含,（1）每个节点具有唯一的id
图3-3给出的属性图不仅表达了RDF图的全部数据，而且还增加了边上的“权重”属性。,属性图,包含,边上的“权重”属性
图3-3属性图示例图3-3的每个节点和每条边均有id。,图3-3的每个节点,包含,id
图3-3属性图示例图3-3的每个节点和每条边均有id。,图3-3的每条边,包含,id
"遵照属性图的要素，节点4的出边集合为{边10,边11}，入边集合为{边8}，属性集合为{姓名=""王五""，年龄=32}；边11的头节点是节点3，尾节点是节点4，标签是“参加”，属性集合为{权重=0.4}。",节点4的出边集合,包含,边10
