input,subject,subject_type,data/object,relation,object,object_type
6.2节和6.3节主要介绍知识图谱中两种最重要的推理，即基于演绎的知识图谱推理和基于归纳的知识图谱推理，并分别介绍常用的方法和思路，同时对典型的实验工具以及实验结果进行分析和展示。,知识推理,知识推理,,包含,基于归纳的知识图谱推理,知识推理
6.2节和6.3节主要介绍知识图谱中两种最重要的推理，即基于演绎的知识图谱推理和基于归纳的知识图谱推理，并分别介绍常用的方法和思路，同时对典型的实验工具以及实验结果进行分析和展示。,知识推理,知识推理,,包含,基于演绎的知识图谱推理,知识推理
6.1推理概述6.1.1什么是推理推理在人类长期的社会发展和演变中扮演着重要的角色，包含了思考、认知和理解，是认知世界的重要途径。,推理,知识推理,属性,被定义为,包含了思考、认知和理解，是认知世界的重要途径，通过已有知识推断出未知知识的过程,文本
推理的方法大致可以分为逻辑推理和非逻辑推理，其中逻辑推理的过程包含了严格的约束和推理过程，而非逻辑推理的过程相对模糊。,推理,知识推理,,包含,逻辑推理,知识推理
推理的方法大致可以分为逻辑推理和非逻辑推理，其中逻辑推理的过程包含了严格的约束和推理过程，而非逻辑推理的过程相对模糊。,推理,知识推理,,包含,非逻辑推理,知识推理
逻辑推理按照推理方式的不同包含两大类：演绎推理（Deductive_Reasoning）和归纳推理（Inductive_Reasoning）。,逻辑推理,知识推理,,包含,演绎推理,知识推理
逻辑推理按照推理方式的不同包含两大类：演绎推理（Deductive_Reasoning）和归纳推理（Inductive_Reasoning）。,逻辑推理,知识推理,,包含,归纳推理,知识推理
逻辑推理按照推理方式的不同包含两大类：演绎推理（Deductive_Reasoning）和归纳推理（Inductive_Reasoning）。,演绎推理,知识推理,属性,英文名,Deductive_Reasoning,文本
逻辑推理按照推理方式的不同包含两大类：演绎推理（Deductive_Reasoning）和归纳推理（Inductive_Reasoning）。,归纳推理,知识推理,属性,英文名,Inductive_Reasoning,文本
其中，归纳推理又包含了溯因推理（Abductive_Reasoning）和类比推理（Analogy_Reasoning）等。,溯因推理,知识推理,属性,英文名,Abductive_Reasoning,文本
其中，归纳推理又包含了溯因推理（Abductive_Reasoning）和类比推理（Analogy_Reasoning）等。,归纳推理,知识推理,,包含,溯因推理,知识推理
其中，归纳推理又包含了溯因推理（Abductive_Reasoning）和类比推理（Analogy_Reasoning）等。,归纳推理,知识推理,,包含,类比推理,知识推理
,类比推理,知识推理,属性,英文名,Analogy_Reasoning,文本
演绎推理[1]是一种自上而下（top-down_logic）的逻辑推理，是指在给定的一个或多个前提的情况下，推断出一个必然成立的结论的过程。,演绎推理,知识推理,属性,被定义为,一种自上而下的逻辑推理，是指在给定的一个或多个前提的情况下，推断出一个必然成立的结论的过程,文本
典型的演绎推理有肯定前件假言推理、否定后件假言推理（Modus_Tollens）以及三段论（Law_of_Syllogism）。,肯定前件假言推理,知识推理,,属于,演绎推理,知识推理
典型的演绎推理有肯定前件假言推理、否定后件假言推理（Modus_Tollens）以及三段论（Law_of_Syllogism）。,否定后件假言推理,知识推理,,属于,演绎推理,知识推理
典型的演绎推理有肯定前件假言推理、否定后件假言推理（Modus_Tollens）以及三段论（Law_of_Syllogism）。,三段论,知识推理,,属于,演绎推理,知识推理
典型的演绎推理有肯定前件假言推理、否定后件假言推理（Modus_Tollens）以及三段论（Law_of_Syllogism）。,三段论,知识推理,属性,英文名,Law_of_Syllogism,文本
,否定后件假言推理,知识推理,属性,英文名,Modus_Tollens,文本
归纳推理[2]是一种自下而上的推理，是指基于已有的部分观察得出一般结论的过程。,归纳推理,知识推理,属性,被定义为,一种自下而上的推理，是指基于已有的部分观察得出一般结论的过程,文本
典型的归纳推理有归纳泛化（Inductive_Generalization）、统计推理（StatisticalSyllogism）。,归纳泛化,知识推理,,属于,归纳推理,知识推理
,统计推理,知识推理,,属于,归纳推理,知识推理
典型的归纳推理有归纳泛化（Inductive_Generalization）、统计推理（StatisticalSyllogism）。,归纳泛化,知识推理,属性,英文名,Inductive_Generalization,文本
典型的归纳推理有归纳泛化（Inductive_Generalization）、统计推理（StatisticalSyllogism）。,统计推理,知识推理,属性,英文名,StatisticalSyllogism,文本
归纳泛化是指基于对个体的观察而得出可能适用于整体的结论，即在整体的一些样本中得到的结论可以泛化到整体上。,归纳泛化,知识推理,属性,被定义为,基于对个体的观察而得出可能适用于整体的结论,文本
而统计推理是将整体的统计结论应用于个体。,统计推理,知识推理,属性,被定义为,将整体的统计结论应用于个体,文本
