input,subject,subject_type,data/object,relation,object,object_type
第2章知识图谱表示与建模漆桂林东南大学，潘志霖阿伯丁大学，陈华钧浙江大学知识图谱表示（Knowledge_Graph_Representation）指的是用什么语言对知识图谱进行建模，从而可以方便知识计算。,知识图谱表示,知识表示,属性,英文名,Knowledge_Graph_Representation,文本
从图的角度来看，知识图谱是一个语义网络，即一种用互联的节点和弧表示知识的一个结构[1]。,知识图谱,知识图谱,,属于,语义网络,知识表示
从图的角度来看，知识图谱是一个语义网络，即一种用互联的节点和弧表示知识的一个结构[1]。,语义网络,知识图谱,属性,被定义为,一种用互联的节点和弧表示知识的一个结构,文本
语义网络中的节点可以代表一个概念（concept）、一个属性（attribute）、一个事件（event）或者一个实体（entity）；而弧表示节点之间的关系，弧的标签指明了关系的类型。,节点,知识图谱,属性,内容,概念,文本
语义网络中的节点可以代表一个概念（concept）、一个属性（attribute）、一个事件（event）或者一个实体（entity）；而弧表示节点之间的关系，弧的标签指明了关系的类型。,节点,知识图谱,属性,内容,属性,文本
语义网络中的节点可以代表一个概念（concept）、一个属性（attribute）、一个事件（event）或者一个实体（entity）；而弧表示节点之间的关系，弧的标签指明了关系的类型。,节点,知识图谱,属性,内容,事件,文本
语义网络中的节点可以代表一个概念（concept）、一个属性（attribute）、一个事件（event）或者一个实体（entity）；而弧表示节点之间的关系，弧的标签指明了关系的类型。,节点,知识图谱,属性,内容,实体,文本
语义网络中的语义主要体现在图中边的含义。,语义网络中的语义,知识表示,,来源,边的含义,知识表示
为了给这些边赋予语义，研究人员提出了术语语言（Terminological_Language），并最终提出了描述逻辑（Description_Logic），描述逻辑是一阶谓词逻辑的一个子集，推理复杂度是可判定的。,描述逻辑,知识表示,,属于,一阶谓词逻辑,知识表示
为了给这些边赋予语义，研究人员提出了术语语言（Terminological_Language），并最终提出了描述逻辑（Description_Logic），描述逻辑是一阶谓词逻辑的一个子集，推理复杂度是可判定的。,描述逻辑,知识表示,属性,英文名,Description_Logic,文本
为了给这些边赋予语义，研究人员提出了术语语言（Terminological_Language），并最终提出了描述逻辑（Description_Logic），描述逻辑是一阶谓词逻辑的一个子集，推理复杂度是可判定的。,描述逻辑,知识表示,属性,目标,给边赋予语义,文本
W3C采用了以描述逻辑为逻辑基础的本体语言OWL作为定义Web术语的标准语言。,OWL,知识表示,,属于,定义Web术语的标准语言,知识表示
W3C采用了以描述逻辑为逻辑基础的本体语言OWL作为定义Web术语的标准语言。,OWL,知识表示,属性,被定义为,描述逻辑为逻辑基础的本体语言,文本
2.1什么是知识表示20世纪90年代，MIT_AI实验室的R.Davis定义了知识表示的五大用途或特点：●客观事物的机器标示（A_KR_is_a_Surrogate），即知识表示首先需要定义客观实体的机器指代或指称。,知识表示的五大用途或特点,知识表示,,包含,客观事物的机器标示,知识表示
2.1什么是知识表示20世纪90年代，MIT_AI实验室的R.Davis定义了知识表示的五大用途或特点：●客观事物的机器标示（A_KR_is_a_Surrogate），即知识表示首先需要定义客观实体的机器指代或指称。,知识表示,知识表示,属性,特点,客观事物的机器标示,文本
2.1什么是知识表示20世纪90年代，MIT_AI实验室的R.Davis定义了知识表示的五大用途或特点：●客观事物的机器标示（A_KR_is_a_Surrogate），即知识表示首先需要定义客观实体的机器指代或指称。,客观事物的机器标示,知识表示,属性,英文名,A_KR_is_a_Surrogate,文本
知识表示的五大用途或特点：●一组本体约定和概念模型（A_KR_is_a_Set_of_Ontological_Commitments），即知识表示还需要定义用于描述客观事物的概念和类别体系。,知识表示的五大用途或特点,知识表示,,包含,一组本体约定和概念模型,知识表示
知识表示的五大用途或特点：●一组本体约定和概念模型（A_KR_is_a_Set_of_Ontological_Commitments），即知识表示还需要定义用于描述客观事物的概念和类别体系。,知识表示,知识表示,属性,特点,一组本体约定和概念模型,文本
知识表示的五大用途或特点：●一组本体约定和概念模型（A_KR_is_a_Set_of_Ontological_Commitments），即知识表示还需要定义用于描述客观事物的概念和类别体系。,一组本体约定和概念模型,知识表示,属性,英文名,A_KR_is_a_Set_of_Ontological_Commitments,文本
知识表示的五大用途或特点：●支持推理的表示基础（A_KR_is_a_Theory_of_Intelligent_Reasoning），即知识表示还需要提供机器推理的模型与方法。,知识表示的五大用途或特点,知识表示,,包含,支持推理的表示基础,知识表示
知识表示的五大用途或特点：●支持推理的表示基础（A_KR_is_a_Theory_of_Intelligent_Reasoning），即知识表示还需要提供机器推理的模型与方法。,知识表示,知识表示,属性,特点,支持推理的表示基础,文本
知识表示的五大用途或特点：●支持推理的表示基础（A_KR_is_a_Theory_of_Intelligent_Reasoning），即知识表示还需要提供机器推理的模型与方法。,支持推理的表示基础,知识表示,属性,英文名,A_KR_is_a_Theory_of_Intelligent_Reasoning,文本
知识表示的五大用途或特点：●用于高效计算的数据结构（A_KR_is_a_medium_for_Efficient_Computation），即知识表示也是一种用于高效计算的数据结构。,知识表示的五大用途或特点,知识表示,,包含,用于高效计算的数据结构,知识表示
知识表示的五大用途或特点：●用于高效计算的数据结构（A_KR_is_a_medium_for_Efficient_Computation），即知识表示也是一种用于高效计算的数据结构。,知识表示,知识表示,属性,特点,用于高效计算的数据结构,文本
知识表示的五大用途或特点：●用于高效计算的数据结构（A_KR_is_a_medium_for_Efficient_Computation），即知识表示也是一种用于高效计算的数据结构。,用于高效计算的数据结构,知识表示,属性,英文名,A_KR_is_a_medium_for_Efficient_Computation,文本
知识表示的五大用途或特点：●人可理解的机器语言（A_KR_is_a_Medium_of_Human_Expression），即知识表示还必须接近于人的认知，是人可理解的机器语言。,知识表示的五大用途或特点,知识表示,,包含,人可理解的机器语言,知识表示
知识表示的五大用途或特点：●人可理解的机器语言（A_KR_is_a_Medium_of_Human_Expression），即知识表示还必须接近于人的认知，是人可理解的机器语言。,知识表示,知识表示,属性,特点,人可理解的机器语言,文本
知识表示的五大用途或特点：●人可理解的机器语言（A_KR_is_a_Medium_of_Human_Expression），即知识表示还必须接近于人的认知，是人可理解的机器语言。,人可理解的机器语言,知识表示,属性,英文名,A_KR_is_a_Medium_of_Human_Expression,文本
例如，认知科学家M.RossQuillian和Allan_M.Collins提出了语义网络的知识表示方法[2-3]，以网络的方式描述概念之间的语义关系。,语义网络的知识表示方法,知识表示,,实现,概念之间的语义关系,知识表示
典型的语义网络如WordNet属于词典类的知识库，主要定义名词、动词、形容词和副词之间的语义关系。,WordNet,知识图谱项目,,属于,词典类的知识库,知识图谱项目
典型的语义网络如WordNet属于词典类的知识库，主要定义名词、动词、形容词和副词之间的语义关系。,语义网络,知识表示,,包含,WordNet,知识图谱项目
