input,subject,subject_type,data/object,relation,object,object_type
第8章知识问答丁力海知智能，杨成彪南京柯基数据科技有限公司知识问答通过自然语言对话的形式帮助人们从知识库中获取知识，它不但是知识图谱的核心应用之一，也是自然语言处理的重要研究方向。,知识问答,知识问答,属性,被定义为,知识图谱的核心应用之一，也是自然语言处理的重要研究方向,文本
8.1知识问答概述知识问答系统是一个拟人化的智能系统，它接收使用自然语言表达的问题，理解用户的意图，获取相关的知识，最终通过推理计算形成自然语言表达的答案并反馈给用户。,知识问答系统,知识问答,,属于,智能系统,知识问答
"8.1.1知识问答的基本要素知识问答或问答（Question_Answering,QA）是对话的一种形态。",知识问答,知识问答,属性,英文名,"Question_Answering,QA",文本
它强调以自然语言问答为交互形式从智能体获取知识，不但要求智能体能够理解问题的语义，还要求基于自身掌握的知识和推理计算能力形成答案。,知识问答智能体,知识问答,属性,作用,以自然语言问答为交互形式从智能体获取知识,文本
问答是一种典型的智能行为，例如著名的图灵测试就是考验能否通过自然语言对话的方式判定答题者是人还是机器。,问答,知识问答,,属于,智能行为,知识问答
在采用对话方式与用户沟通时，众多问答系统都需要使用一定的知识来解答问题，所以说问答系统实质上就是知识问答，本文后续也不再区分问答系统和知识问答系统。,问答系统,知识问答,,属于,知识问答,知识问答
"图8-1问答系统的四大要素8.1.2知识问答的相关工作信息检索（Information_Retrieval,IR）或搜索以关键词搜索为代表，帮助用户发现包含搜索关键词的网页或文档。",信息检索,知识问答,属性,英文名,"Information_Retrieval,IR",文本
"图8-1问答系统的四大要素8.1.2知识问答的相关工作信息检索（Information_Retrieval,IR）或搜索以关键词搜索为代表，帮助用户发现包含搜索关键词的网页或文档。",信息检索,知识问答,属性,被定义为,以关键词搜索为代表，帮助用户发现包含搜索关键词的网页或文档,文本
近来的信息检索技术也在逐步利用语义信息，例如支持查询扩展[1]、语义相似度匹配[2]以及基于知识图谱的实体识别[3]。,信息检索技术,知识问答,属性,方法,语义信息，例如支持查询扩展[1]、语义相似度匹配[2]以及基于知识图谱的实体识别,文本
数据库查询（Database_Query）同样可以帮助用户获取知识，但是知识问答和数据库查询仍然存在一定差异。,数据库查询,知识问答,属性,英文名,Database_Query,文本
值得注意的是，自然语言查询需要处理歧义现象，例如“Listall_employees_in_the_company_with_a_driving_license”（“列举有驾照的公司的雇员”），可以是找“有驾照的公司”也可以是“有驾照的公司雇员”，从常识判断只有后者才是用户的真正意图。,自然语言查询,知识问答,属性,作用,处理歧义现象,文本
第二，数据库对知识库有严格限制，要求数据必须结构化存储。,数据库,知识问答,,来源,知识库,知识问答
案例1.知识问答可以直接嵌入搜索引擎的结果页面，将问答的答案与搜索的结果列表同时展示。,知识问答,知识问答,属性,作用,直接嵌入搜索引擎的结果页面，将问答的答案与搜索的结果列表同时展示,文本
图8-2“沃森”在《危险边缘》中获得冠军图8-3问答展示界面案例2.知识问答技术可以应用于智能对话系统、智能客服或智能助理（IntelligentAgent）[7]。,智能助理,知识问答,属性,英文名,IntelligentAgent,文本
除了帮助人们获取知识[8]，智能助理也可以跟人闲聊，帮助人执行任务（例如下订单、订酒店、叫外卖），将用户的问题转化为结构化查询，利用多轮对话补全用户的意图等[9]。,智能助理,知识问答,属性,作用,帮助人们获取知识,文本
各种答题机器人和对话机器人也是知识问答的一个重要应用方向。,知识问答,知识问答,,包含,答题机器人,知识问答
以阅读理解为代表的应用也可以被看作是知识问答的特例，它主要限制了知识库的边界（虽然阅读理解的主体知识是指定的章，但是实现理解仍然需要语法、常用词汇概念以及常识等辅助），而问题的形式可以是选择题（判断哪个答案正确）、填空题（直接填写答案）抑或是简答题。,知识问答,知识问答,,包含,以阅读理解为代表的应用,知识问答
问答系统可以针对问题类型，选择对应的知识库、处理逻辑来生成答案[15]。,问答系统,知识问答,属性,目标,针对问题类型，选择对应的知识库、处理逻辑来生成答案,文本
通过对问题的类型（也就是用户问题所期望的答案的类型）的分析，问答系统可以有针对性地选择有效的知识库和处理逻辑解答一类问题。,问答系统,知识问答,属性,目标,选择有效的知识库和处理逻辑解答一类问题,文本
LI等人[15]通过观察TREC的1000个问题的数据，从答案类型出发建立了一个问题分类体系，包含6个大类和50个细分类，并对各类问题的占比进行了统计。,TREC,知识图谱项目,属性,创建者,LI等人,人物/实验室
可见，在知识问答中，一个合理的分类体系能够体现出问题的类型分布，从而帮助开发者有针对性地设计问答解决方案，并形成良好的问答系统。,分类体系,知识问答,属性,作用,帮助开发者有针对性地设计问答解决方案,文本
可见，在知识问答中，一个合理的分类体系能够体现出问题的类型分布，从而帮助开发者有针对性地设计问答解决方案，并形成良好的问答系统。,问答系统,知识问答,,来源,分类体系,知识问答
图8-6ISI_QA问题类型分类体系及实例后续也出现了基于功能的问题分类体系。,ISI_QA问题类型分类体系及实例,知识图谱项目,属性,作用,基于功能的问题分类体系,文本
表8-2BU等人提出的问题分类机制[18]图8-7基于功能的问题分类体系在百度知道中的占比[18]综合分类体系的探索工作，本文从问答的功能出发，面向知识图谱问答的构建（即假定知识库的主题为知识图谱）整理出两种问题类型：事实性客观问题和主观深层次问题。,问题类型,知识问答,,包含,事实性客观问题,知识问答
表8-2BU等人提出的问题分类机制[18]图8-7基于功能的问题分类体系在百度知道中的占比[18]综合分类体系的探索工作，本文从问答的功能出发，面向知识图谱问答的构建（即假定知识库的主题为知识图谱）整理出两种问题类型：事实性客观问题和主观深层次问题。,问题类型,知识问答,,包含,主观深层次问题,知识问答
事实型问题是知识问答中处理频度较高的一种问题类型，其中包含了谓词型问题（答案是一个单一的对象）、列表型问题（返回的不止一个答案，而是一列答案）。,事实型问题,知识问答,,属于,问题类型,知识问答
事实型问题是知识问答中处理频度较高的一种问题类型，其中包含了谓词型问题（答案是一个单一的对象）、列表型问题（返回的不止一个答案，而是一列答案）。,事实型问题,知识问答,,包含,谓词型问题,知识问答
事实型问题是知识问答中处理频度较高的一种问题类型，其中包含了谓词型问题（答案是一个单一的对象）、列表型问题（返回的不止一个答案，而是一列答案）。,事实型问题,知识问答,,包含,列表型问题,知识问答
问题焦点（Focus）指的是问句中出现的与答案实体或属性相关的元素，例如问句“In_which_city_was_Barack_Obama_born?”中的city，以及“What_is_the_population_of_Galway?”中的population。,问题焦点,知识问答,属性,被定义为,问句中出现的与答案实体或属性相关的元素,文本
问题焦点（Focus）指的是问句中出现的与答案实体或属性相关的元素，例如问句“In_which_city_was_Barack_Obama_born?”中的city，以及“What_is_the_population_of_Galway?”中的population。,问题焦点,知识问答,属性,英文名,Focus,文本
问题主题（Topic）反映问题是关于哪些主题的，例如问句“What_is_the_height_of_Mount_Everest?”询问的是关于地理及山脉的信息，而“Which_organ_is_affected_by_the_Meniere's_disease?”的问题主题则是医疗方面的内容。,问题主题,知识问答,属性,被定义为,反映问题是关于哪些主题的,文本
