input,subject,subject_type,relation,object,object_type
知识抽取和知识挖掘对于知识图谱的构建及应用具有重要的意义。,知识抽取,,,知识图谱的构建及应用,
本章将首先介绍知识抽取的技术和方法，然后介绍知识内容挖掘和知识结构挖掘。,本章,,,知识抽取的技术和方法,
本章将首先介绍知识抽取的技术和方法，然后介绍知识内容挖掘和知识结构挖掘。,知识内容挖掘,,,knowledge content mining,
本章将首先介绍知识抽取的技术和方法，然后介绍知识内容挖掘和知识结构挖掘。,知识结构挖掘,,,knowledge structure mining,
知识抽取的数据源可以是结构化数据（如链接数据、数据库）、半结构化数据（如网页中的表格、列表）或者非结构化数据（即纯文本数据）。,知识抽取,,,结构化数据,
知识抽取的数据源可以是结构化数据（如链接数据、数据库）、半结构化数据（如网页中的表格、列表）或者非结构化数据（即纯文本数据）。,知识抽取,,,半结构化数据,
知识抽取的数据源可以是结构化数据（如链接数据、数据库）、半结构化数据（如网页中的表格、列表）或者非结构化数据（即纯文本数据）。,知识抽取,,,非结构化数据,
面向不同类型的数据源，知识抽取涉及的关键技术和需要解决的技术难点有所不同。,知识抽取,,,不同类型的数据源,
知识抽取的概念最早在20世纪70年代后期出现于NLP研究领域，是指自动化地从文本中发现和抽取相关信息，并将多个文本碎片中的信息进行合并，将非结构化数据转换为结构化数据，包括某一特定领域的模式、实体关系或RDF三元组。,知识抽取,,,NLP研究领域,
给定一段关于苹果公司的文字描述，知识抽取方法可以自动获取关于苹果公司的结构化信息，包括其总部地址、创始人以及创立时间。,知识抽取方法,,,自动获取关于苹果公司的结构化信息,
给定一段关于苹果公司的文字描述，知识抽取方法可以自动获取关于苹果公司的结构化信息，包括其总部地址、创始人以及创立时间。,知识抽取方法,,,自动获取关于苹果公司的结构化信息,
图4-1知识抽取的典型例子具体地，知识抽取包括以下子任务：1.命名实体识别从文本中检测出命名实体，并将其分类到预定义的类别中，例如人物、组织、地点、时间等。,知识抽取,,,命名实体识别,
2.关系抽取从文本中识别抽取实体及实体之间的关系。,关系抽取,,,从文本中识别抽取实体及实体之间的关系,
例如，从句子“[王思聪]是万达集团董事长[王健林]的独子”中识别出实体“[王健林]”和“[王思聪]”之间具有“父子”关系。,王思聪,,,万达集团董事长王健林的独子,
3.事件抽取识别文本中关于事件的信息，并以结构化的形式呈现。,事件抽取,,,识别文本中关于事件的信息，并以结构化的形式呈现。,
例如，从恐怖袭击事件的新闻报道中识别袭击发生的地点、时间、袭击目标和受害人等信息。,信息抽取,,,从恐怖袭击事件的新闻报道中识别袭击发生的地点、时间、袭击目标和受害人等信息。,
4.1.2知识抽取相关竞赛一些重要的竞赛对知识抽取技术的发展起到了巨大的推动作用。,知识抽取相关竞赛,,,重要的竞赛,
这些竞赛一般与学术会议同时举办，在明确定义知识抽取相关任务的基础上，提供标准评测数据和评测指标，吸引了大量的参与者。,知识抽取,,,竞赛,
本节将介绍知识抽取相关的重要竞赛。,知识抽取相关的重要竞赛,,,本节将介绍,
"1.消息理解会议（Message_Understanding_Conference,MUC）MUC由美国国防部高级研究计划局（DARPA）启动并资助，目的是鼓励和开发更好的信息抽取方法。",MUC,,,美国国防部高级研究计划局（DARPA）启动并资助的消息理解会议,
"1.消息理解会议（Message_Understanding_Conference,MUC）MUC由美国国防部高级研究计划局（DARPA）启动并资助，目的是鼓励和开发更好的信息抽取方法。",消息理解会议,,,"Message_Understanding_Conference,MUC",
1987—1998年，MUC会议共举办了七届。,MUC,,,MUC会议,
MUC不仅仅是学术会议，其更重要的是在于对信息抽取系统的评测。,MUC,,,学术会议,
在每届MUC会议前，组织者向参加者提供消息文本的样例和信息抽取任务的说明；参加者开发参赛系统并提交系统的输出结果。,MUC会议前的样例和信息抽取任务的说明,,,向参加者提供消息文本的样例和信息抽取任务的说明,
各个系统的结果与标准结果比对后得到最终的评测结果，参与者最后在会议上交流技术和感受。,参与者,,,交流技术和感受,
在MUC的评测中，召回率（Recall）和精确率（Precision）是评价信息抽取系统性能的两个重要评价指标。,召回率,,,评价信息抽取系统性能的两个重要评价指标,
在MUC的评测中，召回率（Recall）和精确率（Precision）是评价信息抽取系统性能的两个重要评价指标。,召回率,,,Recall,
在MUC的评测中，召回率（Recall）和精确率（Precision）是评价信息抽取系统性能的两个重要评价指标。,精确率,,,Precision,
召回率是系统抽取的正确结果占标准结果的比例；精确率是系统抽取的正确结果占其抽取的所有结果的比例。,召回率,,,系统抽取的正确结果占标准结果的比例,
召回率是系统抽取的正确结果占标准结果的比例；精确率是系统抽取的正确结果占其抽取的所有结果的比例。,精确率,,,系统抽取的正确结果占其抽取的所有结果的比例,
召回率是系统抽取的正确结果占标准结果的比例；精确率是系统抽取的正确结果占其抽取的所有结果的比例。,召回率,,,recall,
召回率是系统抽取的正确结果占标准结果的比例；精确率是系统抽取的正确结果占其抽取的所有结果的比例。,精确率,,,precision,
为了综合两个方面的因素考量系统的性能，通常基于召回率和准确率计算F1值。,F1值,,,基于召回率和准确率计算,
为了综合两个方面的因素考量系统的性能，通常基于召回率和准确率计算F1值。,F1值,,,综合两个方面的因素考量系统的性能,
