input,subject,subject_type,relation,object,object_type
本章旨在全面系统地介绍以RDF为数据模型的知识图谱语义搜索基础技术以及面临的挑战。,本章,,,知识图谱语义搜索基础技术以及面临的挑战,
7.1语义搜索简介搜索也称信息检索（Information_Retrieval），是从信息资源集合获得与信息需求相关的信息资源的活动[1]。,搜索,,,信息检索,
7.1语义搜索简介搜索也称信息检索（Information_Retrieval），是从信息资源集合获得与信息需求相关的信息资源的活动[1]。,搜索,,,Information_Retrieval,
近年来，在互联网和企业应用上，搜索技术受到了广泛的关注和应用。,搜索技术,,,在互联网和企业应用上，搜索技术受到了广泛的关注和应用,
其中，最广泛的信息检索主要是面向文档为单位的检索（Document_Retrieval）。,面向文档为单位的检索,,,信息检索,
其中，最广泛的信息检索主要是面向文档为单位的检索（Document_Retrieval）。,面向文档为单位的检索,,,Document_Retrieval,
此外，面向数据的检索（Data_Retrieval）也受到越来越多的关注，主要包括基于数据库的检索和基于知识库的检索，其特点是能够提供更精确的答案[5]。,面向数据的检索,,,基于数据库的检索,
此外，面向数据的检索（Data_Retrieval）也受到越来越多的关注，主要包括基于数据库的检索和基于知识库的检索，其特点是能够提供更精确的答案[5]。,面向数据的检索,,,基于知识库的检索,
此外，面向数据的检索（Data_Retrieval）也受到越来越多的关注，主要包括基于数据库的检索和基于知识库的检索，其特点是能够提供更精确的答案[5]。,面向数据的检索,,,Data_Retrieval,
面向文档和面向数据两种模式间的技术差异大致可以分为三个部分，即对用户需求的Model）、对底层数据的表示（Data表示（Query_Technique）。,面向文档和面向数据两种模式间的技术差异,,,Model、Data、Query_Technique,
面向文档和面向数据两种模式间的技术差异大致可以分为三个部分，即对用户需求的Model）、对底层数据的表示（Data表示（Query_Technique）。,面向文档和面向数据两种模式间的技术差异,,,Model、Data、Query_Technique,
面向文档的信息检索主要通过轻量级的语法模型（Lightweight_Syntax-Centric_Model）表示用户的检索需求和资源的内容，即目前占主导地位的关键词模式——词袋模型（Bag-of-Words）。,面向文档的信息检索,,,关键词模式——词袋模型,
面向文档的信息检索主要通过轻量级的语法模型（Lightweight_Syntax-Centric_Model）表示用户的检索需求和资源的内容，即目前占主导地位的关键词模式——词袋模型（Bag-of-Words）。,关键词模式,,,词袋模型,
这种技术对主题搜索（Topic_Search）的效果很好，即给定一个主题检索相关的文档，但不能应对更加复杂的信息检索需求。,SPO,,,主题搜索（Topic_Search）,
这种技术对主题搜索（Topic_Search）的效果很好，即给定一个主题检索相关的文档，但不能应对更加复杂的信息检索需求。,SPO,,,主题检索,
相比来说，基于数据库Model）和匹配技术（Matching和基于知识库的检索系统能够通过使用表达能力更强的模型来表示用户的需求，并且利用数据内在的结构和语义关联，允许更为复杂的查询，进而提供更加精确和具体的答案。,SPO,,,主题检索,
语义关注的是能用于搜索的资源的含义。,语义,,,能用于搜索的资源的含义,
这些含义是通过语义模型构建的，例如语言学模型和概念模型。,语义模型构建的,,,概念/产品,
