input,subject,subject_type,relation,object,object_type
第3章知识存储王鑫天津大学随着知识图谱规模的日益增长，数据管理愈加重要。,知识存储,,,知识图谱数据管理,
一方面，以文件形式保存的知识图谱显然无法满足用户的查询、检索、推理、分析及各种应用需求；另一方面，传统数据库的关系模型与知识图谱的图模型之间存在显著差异，关系数据库无法有效地管理大规模知识图谱数据。,知识图谱,,,数据库,
为了更好地进行三元组数据的存储，语义万维网领域发展出专门存储RDF数据的三元组库；数据库领域发展出用于管理属性图的图数据库。,三元组数据库,,,存储RDF数据,
为了更好地进行三元组数据的存储，语义万维网领域发展出专门存储RDF数据的三元组库；数据库领域发展出用于管理属性图的图数据库。,三元组库,,,triplestore,
为了更好地进行三元组数据的存储，语义万维网领域发展出专门存储RDF数据的三元组库；数据库领域发展出用于管理属性图的图数据库。,图数据库,,,graph database,
3.1知识图谱数据库基本知识本节首先介绍目前表示知识图谱的两种主要图数据模型：RDF图和属性图。,知识图谱数据库,,,目前表示知识图谱的两种主要图数据模型,
3.1.1知识图谱数据模型从数据模型角度来看，知识图谱本质上是一种图数据。,知识图谱,,,图数据,
不同领域的知识图谱均须遵循相应的数据模型。,知识图谱,,,数据模型,
往往一个数据模型的生命力要看其数学基础的强弱，关系模型长盛不衰的一个重要原因是其数学基础为关系代数。,关系模型,,,关系代数,
知识图谱数据模型的数学基础源于有着近300年历史的数学分支——图论。,知识图谱数据模型,,,图论,
"在图论中，图是二元组G=（V,E），其中V是节点集合，E是边集合。",图,,,"二元组G=（V,E）",
"在图论中，图是二元组G=（V,E），其中V是节点集合，E是边集合。",图,,,graph,
知识图谱数据模型基于图论中图的定义，用节点集合表示实体，用边集合表示实体间的联系，这种一般和通用的数据表示恰好能够自然地刻画现实世界中事物的广泛联系。,知识图谱数据模型,,,图的定义,
1.RDF图RDF是W3C制定的在语义万维网上表示和交换机器可理解信息的标准数据模型[1]。,RDF,,,W3C制定的在语义万维网上表示和交换机器可理解信息的标准数据模型,
1.RDF图RDF是W3C制定的在语义万维网上表示和交换机器可理解信息的标准数据模型[1]。,RDF,,,语义万维网上表示和交换机器可理解信息的标准数据模型,
"在RDF三元组集合中，每个Web资源具有一个HTTPURI作为其唯一的id；一个RDF图定义为三元组(s,p,o)的有限集合；每个三元组代表一个陈述句，其中s是主语，p是谓语，o是宾语；(s,p,o)表示资源s与资源o之间具有联系p，或表示资源s具有属性p且其取值为o。",RDF三元组,,,RDF图,
"在RDF三元组集合中，每个Web资源具有一个HTTPURI作为其唯一的id；一个RDF图定义为三元组(s,p,o)的有限集合；每个三元组代表一个陈述句，其中s是主语，p是谓语，o是宾语；(s,p,o)表示资源s与资源o之间具有联系p，或表示资源s具有属性p且其取值为o。",三元组,,,"(s,p,o)的有限集合",
实际上，RDF三元组集合即为图中的有向边集合。,RDF三元组集合,,,图中的有向边集合,
如图3-1所示，是一个虚构的软件开发公司的社会网络图，其中有张三、李四、王五和赵六4名程序员，有“图数据库”和“RDF三元组库”2个项目；张三认识李四和王五；张三、王五和赵六参加“图数据库”的开发，该项目使用Java语言；王五参加“RDF三元组库”的开发，该项目使用C++语言。,图3-1所示的软件开发公司的社会网络图,,,虚构,
如图3-1所示，是一个虚构的软件开发公司的社会网络图，其中有张三、李四、王五和赵六4名程序员，有“图数据库”和“RDF三元组库”2个项目；张三认识李四和王五；张三、王五和赵六参加“图数据库”的开发，该项目使用Java语言；王五参加“RDF三元组库”的开发，该项目使用C++语言。,等价,,,equivalence,
如图3-1所示，是一个虚构的软件开发公司的社会网络图，其中有张三、李四、王五和赵六4名程序员，有“图数据库”和“RDF三元组库”2个项目；张三认识李四和王五；张三、王五和赵六参加“图数据库”的开发，该项目使用Java语言；王五参加“RDF三元组库”的开发，该项目使用C++语言。,英文名,,,English name,
图3-1RDF图示例值得注意的是，RDF图对于节点和边上的属性没有内置的支持。,RDF图,,,图3-1RDF图示例,
图3-1RDF图示例值得注意的是，RDF图对于节点和边上的属性没有内置的支持。,RDF图,,,RDF图示例,
节点属性可用三元组表示，这类三元组的宾语称为字面量，即图中的矩形。,节点属性,,,三元组,
边上的属性表示起来稍显烦琐，最常见的是利用RDF中一种叫作“具体化”（reification）的技术[2]，需要引入额外的点表示整个三元组，将边属性表示为以该节点为主语的三元组。,边上的属性,,,具体化技术,
边上的属性表示起来稍显烦琐，最常见的是利用RDF中一种叫作“具体化”（reification）的技术[2]，需要引入额外的点表示整个三元组，将边属性表示为以该节点为主语的三元组。,边上的属性,,,reification,
例如在图3-2中，引入节点ex:participate代表三元组(ex:zhangsan，参加，ex:graphdb)，该节点通过RDF内置属性rdf:subject、rdf:predicate和rdf:object分别与代表的三元组的主语、谓语和宾语建立起联系，这样三元组(ex:participate，权重，0.4)就实现了为原三元组增加边属性的效果。,ex:participate,,,为原三元组增加边属性的效果,
例如在图3-2中，引入节点ex:participate代表三元组(ex:zhangsan，参加，ex:graphdb)，该节点通过RDF内置属性rdf:subject、rdf:predicate和rdf:object分别与代表的三元组的主语、谓语和宾语建立起联系，这样三元组(ex:participate，权重，0.4)就实现了为原三元组增加边属性的效果。,等价,,,equivalent,
图3-2RDF图中边属性的表示2.属性图属性图可以说是目前被图数据库业界采纳最广的一种图数据模型[3]。,属性图,,,目前被图数据库业界采纳最广的一种图数据模型[3]。,
图3-2RDF图中边属性的表示2.属性图属性图可以说是目前被图数据库业界采纳最广的一种图数据模型[3]。,属性图,,,property graph,
属性图由节点集和边集组成，且满足如下性质：（1）每个节点具有唯一的id；（2）每个节点具有若干条出边；（3）每个节点具有若干条入边；（4）每个节点具有一组属性，每个属性是一个键值对；（5）每条边具有唯一的id；（6）每条边具有一个头节点；（7）每条边具有一个尾节点；（8）每条边具有一个标签，表示联系；（9）每条边具有一组属性，每个属性是一个键值对。,属性图,,,property graph,
图3-3给出的属性图不仅表达了RDF图的全部数据，而且还增加了边上的“权重”属性。,属性图,,,RDF图的全部数据,
图3-3给出的属性图不仅表达了RDF图的全部数据，而且还增加了边上的“权重”属性。,属性图,,,边上的“权重”属性,
图3-3属性图示例图3-3的每个节点和每条边均有id。,图3-3,,,属性图,
图3-3属性图示例图3-3的每个节点和每条边均有id。,图3-3的每个节点,,,属性图示例,
图3-3属性图示例图3-3的每个节点和每条边均有id。,图3-3的每条边,,,id,
"遵照属性图的要素，节点4的出边集合为{边10,边11}，入边集合为{边8}，属性集合为{姓名=""王五""，年龄=32}；边11的头节点是节点3，尾节点是节点4，标签是“参加”，属性集合为{权重=0.4}。",节点4的出边集合,,,"{边10,边11}",
"遵照属性图的要素，节点4的出边集合为{边10,边11}，入边集合为{边8}，属性集合为{姓名=""王五""，年龄=32}；边11的头节点是节点3，尾节点是节点4，标签是“参加”，属性集合为{权重=0.4}。",节点4的入边集合,,,{边8},
"遵照属性图的要素，节点4的出边集合为{边10,边11}，入边集合为{边8}，属性集合为{姓名=""王五""，年龄=32}；边11的头节点是节点3，尾节点是节点4，标签是“参加”，属性集合为{权重=0.4}。",节点4的属性集合,,,"{姓名=""王五""，年龄=32}",
3.1.2知识图谱查询语言在知识图谱数据模型上，需要借助知识图谱查询语言进行查询操作。,知识图谱查询语言,,,知识图谱数据模型,
目前，RDF图上的查询语言是SPARQL；属性图上的查询语言常用的是Cypher和Gremlin。,SPARQL,,,RDF图上的查询语言,
目前，RDF图上的查询语言是SPARQL；属性图上的查询语言常用的是Cypher和Gremlin。,SPARQL,,,查询语言,
目前，RDF图上的查询语言是SPARQL；属性图上的查询语言常用的是Cypher和Gremlin。,Cypher,,,属性图上的查询语言,
1.SPARQLSPARQL是W3C制定的RDF图数据的标准查询语言[4]。,SPARQL,,,W3C制定的RDF图数据的标准查询语言,
SPARQL从语法上借鉴了SQL，同样属于声明式查询语言。,SPARQL,,,声明式查询语言,
最新的SPARQL1.1版本为有效查询RDF图专门设计了三元组模式、子图模式、属性路径等多种查询机制。,SPARQL1.1,,,查询RDF图专门设计了三元组模式、子图模式、属性路径等多种查询机制,
最新的SPARQL1.1版本为有效查询RDF图专门设计了三元组模式、子图模式、属性路径等多种查询机制。,三元组模式,,,triadic pattern,
最新的SPARQL1.1版本为有效查询RDF图专门设计了三元组模式、子图模式、属性路径等多种查询机制。,子图模式,,,subgraph pattern,
最新的SPARQL1.1版本为有效查询RDF图专门设计了三元组模式、子图模式、属性路径等多种查询机制。,属性路径,,,property path,
几乎全部的RDF三元组数据库都实现了SPARQL语言。,SPARQL,,,RDF三元组数据库,
下面通过几个例子介绍SPARQL语言的基本功能。,SPARQL语言,,,几个例子介绍SPARQL语言的基本功能,
查询使用的是RDF图数据。,查询,,,RDF图数据,
"（1）查询程序员张三认识的其他程序员输出：说明：PREFIX关键字将ex定义为URI“http://www.example.com/”的前缀缩写，WHERE关键字指明了查询的三元组模式（Triple_Pattern）,SELECT关键字列出了要返回的结果变量。",查询程序员张三认识的其他程序员,,,属于查询其他程序员,
三元组模式查询是最基本的SPARQL查询。,SPARQL查询,,,三元组模式查询,
三元组模式查询是最基本的SPARQL查询。,SPARQL查询,,,三元组模式查询,
（2）查询程序员张三认识的其他程序员参加的项目输出：说明：这是由两个三元组模式组成的一个基本图模式（Basic_Graph_Pattern）查询，简称为BGP查询。,BGP查询,,,两个三元组模式组成的一个基本图模式（Basic_Graph_Pattern）查询，简称为BGP查询。,
（2）查询程序员张三认识的其他程序员参加的项目输出：说明：这是由两个三元组模式组成的一个基本图模式（Basic_Graph_Pattern）查询，简称为BGP查询。,BGP查询,,,（2）查询程序员张三认识的其他程序员参加的项目,
实际上，这两个三元组模式之间通过公共变量？p连接为一个链式查询。,三元组模式,,,链式查询,
实际上，这两个三元组模式之间通过公共变量？p连接为一个链式查询。,链式查询,,,chain query,
（3）查询节点ex:zhangsan认识的30岁以上的程序员参加的项目名称输出：说明：关键字FILTER用于指明过滤条件，对变量匹配结果进行按条件筛选。,查询节点,,,ex:zhangsan认识的30岁以上的程序员参加的项目名称,
这里既有？p和？pr分别作为两个三元组模式的宾语和主语连接起来的链式模式，也有？p作为两个三元组模式的主语连接起来的星形结构，该查询是一个更加一般的BGP查询。,p,,,两个三元组模式的链式模式,
这里既有？p和？pr分别作为两个三元组模式的宾语和主语连接起来的链式模式，也有？p作为两个三元组模式的主语连接起来的星形结构，该查询是一个更加一般的BGP查询。,p,,,星形结构,
这里既有？p和？pr分别作为两个三元组模式的宾语和主语连接起来的链式模式，也有？p作为两个三元组模式的主语连接起来的星形结构，该查询是一个更加一般的BGP查询。,三元组模式,,,链式模式,
这里既有？p和？pr分别作为两个三元组模式的宾语和主语连接起来的链式模式，也有？p作为两个三元组模式的主语连接起来的星形结构，该查询是一个更加一般的BGP查询。,三元组模式,,,星形结构,
实际上，BGP查询相当于一个带有变量的查询图，查询过程是在数据图中寻找与查询图映射Isomorphism）或子图同态匹配的所有子图，等价于图论中的子图同构（Subgraph（Subgraph_Homomorphism）问题[5]，所以也将BGP查询称为子图匹配查询。,BGP查询,,,子图匹配查询,
实际上，BGP查询相当于一个带有变量的查询图，查询过程是在数据图中寻找与查询图映射Isomorphism）或子图同态匹配的所有子图，等价于图论中的子图同构（Subgraph（Subgraph_Homomorphism）问题[5]，所以也将BGP查询称为子图匹配查询。,BGP查询,,,子图匹配查询,
（4）查询年龄为29的参加了项目ex:graphdb的程序员参加的其他项目及其直接或间接认识的程序员参加的项目输出：说明：这里使用了Path）机制，ex:knows*/ex:participate类似于正则表达式，其表示经过0条、1条或多条ex:knows边，再经过一条ex:participate边。,ex:graphdb,,,查询年龄为29的参加了项目ex:graphdb的程序员参加的其他项目及其直接或间接认识的程序员参加的项目,
（4）查询年龄为29的参加了项目ex:graphdb的程序员参加的其他项目及其直接或间接认识的程序员参加的项目输出：说明：这里使用了Path）机制，ex:knows*/ex:participate类似于正则表达式，其表示经过0条、1条或多条ex:knows边，再经过一条ex:participate边。,ex:graphdb,,,图数据库,
1.1引入的属性路径（Property_SPARQL_SPARQL实际上是一整套知识服务标准体系。,Property_SPARQL_SPARQL,,,知识服务标准体系,
SPARQL1.1语言的语法和语义的完整定义请参见W3C的推荐标准“SPARQL1.1查询语言”[4]，该标准连同其他10个推荐标准共同组成了SPARQL知识平台，包括查询[4]、更新[6]、服务描述[7]、联邦查询[8]、查询结果格式[9]、蕴涵推理[10]和接口协议[11]等。,SPARQL1.1查询语言,,,SPARQL,
开放的SPARQL学习教程有WikiBooks_SPARQL教程[12]、WikidataSPARQL教程[13]和Apache_Jena_SPARQL教程[14]等。,开放的SPARQL学习教程,,,WikiBooks_SPARQL教程[12],
开放的SPARQL学习教程有WikiBooks_SPARQL教程[12]、WikidataSPARQL教程[13]和Apache_Jena_SPARQL教程[14]等。,开放的SPARQL学习教程,,,WikidataSPARQL教程[13],
开放的SPARQL学习教程有WikiBooks_SPARQL教程[12]、WikidataSPARQL教程[13]和Apache_Jena_SPARQL教程[14]等。,开放的SPARQL学习教程,,,Apache_Jena_SPARQL教程[14],
开放的SPARQL学习教程有WikiBooks_SPARQL教程[12]、WikidataSPARQL教程[13]和Apache_Jena_SPARQL教程[14]等。,WikiBooks_SPARQL教程,,,WikiBooks SPARQL教程,
开放的SPARQL学习教程有WikiBooks_SPARQL教程[12]、WikidataSPARQL教程[13]和Apache_Jena_SPARQL教程[14]等。,WikidataSPARQL教程,,,WikidataSPARQL教程,
开放的SPARQL学习教程有WikiBooks_SPARQL教程[12]、WikidataSPARQL教程[13]和Apache_Jena_SPARQL教程[14]等。,Apache_Jena_SPARQL教程,,,Apache Jena SPARQL教程,
本章3.4节将以Apache_Jena作为实践工具，讲解如何使用SPARQL进行知识图谱的查询和更新。,本章3.4节,,,讲解如何使用SPARQL进行知识图谱的查询和更新,
2.CypherCypher最初是图数据库Neo4j中实现的属性图数据查询语言[15]。,Cypher,,,属性图数据查询语言,
2.CypherCypher最初是图数据库Neo4j中实现的属性图数据查询语言[15]。,Cypher,,,属性图数据查询语言,
与SPARQL一样，Cypher也是一种声明式语言，即用户只需要声明“查什么”，而无须关心“怎么查”，这就好比乘坐出租车到一个目的地，只需要告诉司机要到哪里，具体的行车路线可由司机安排，乘客并不需要关心。,Cypher,,,声明式语言,
与SPARQL一样，Cypher也是一种声明式语言，即用户只需要声明“查什么”，而无须关心“怎么查”，这就好比乘坐出租车到一个目的地，只需要告诉司机要到哪里，具体的行车路线可由司机安排，乘客并不需要关心。,Cypher,,,声明式语言,
这类语言的优点是便于用户学习掌握，同时给予数据库进行查询优化的空间，缺点是不能满足高级用户导航式查询的要求，数据库规划的查询执行计划有可能并不是最优方案。,数据库查询语言,,,便于用户学习掌握同时给予数据库进行查询优化的空间,
2015年，Neo4j公司发起开源项目openCypher[16]，旨在对Cypher进行标准化工作，为其他实现者提供语法和语义的参考标准。,openCypher,,,Cypher标准化工作,
虽然Cypher的发展目前仍由Neo4j主导，但包括SAP_HANA_Graph[17]、Redis_Graph[18]、AgensGraph[19]和Memgraph[20]等在内的图数据库产品已经实现了Cypher。,Cypher,,,Neo4j主导的图数据库产品,
下面通过例子了解Cypher语言的基本功能。,Cypher,,,语言的基本功能,
使用的知识图谱是图3-3中的属性图。,图3-3中的属性图,,,使用的知识图谱,
（1）查询图中的所有程序员节点输出：说明：MATCH关键字指明需要匹配的模式，这里将节点分为了程序员和项目两类，p作为查询变量会依次绑定到每个类型为Programmer的节点，RETURN关键字返回变量p的值作为查询结果。,MATCH,,,查询图中的所有程序员节点,
（1）查询图中的所有程序员节点输出：说明：MATCH关键字指明需要匹配的模式，这里将节点分为了程序员和项目两类，p作为查询变量会依次绑定到每个类型为Programmer的节点，RETURN关键字返回变量p的值作为查询结果。,查询图中的所有程序员节点,,,输出：说明：MATCH关键字指明需要匹配的模式，这里将节点分为了程序员和项目两类，p作为查询变量会依次绑定到每个类型为Programmer的节点，RETURN关键字返回变量p的值作为查询结果。,
（2）查询程序员与“图数据库”项目之间的边输出：说明：此查询返回边及其属性，程序员类型节点与图数据库项目节点之前存在3条标签为参加的边。,程序员,,,“图数据库”项目,
（2）查询程序员与“图数据库”项目之间的边输出：说明：此查询返回边及其属性，程序员类型节点与图数据库项目节点之前存在3条标签为参加的边。,等价,,,equivalence,
（2）查询程序员与“图数据库”项目之间的边输出：说明：此查询返回边及其属性，程序员类型节点与图数据库项目节点之前存在3条标签为参加的边。,英文名,,,equivalence,
（3）查询从节点1出发的标签为“认识”的边输出：说明：从节点1出发沿“认识”边到达节点2和节点4。,查询从节点1出发的标签为“认识”的边,,,从节点1出发沿“认识”边到达节点2和节点4,
（3）查询从节点1出发的标签为“认识”的边输出：说明：从节点1出发沿“认识”边到达节点2和节点4。,等价,,,equivalence,
（4）查询节点1认识的30岁以上的程序员参加的项目名称输出：说明：该查询MATCH子句等价于SPARQLBGP查询的链式查询。,查询节点1认识的30岁以上的程序员参加的项目名称,,,SPARQLBGP查询的链式查询,
（5）查询年龄为29的参加了项目3的程序员参加的其他项目及其直接或间接认识的程序员参加的项目输出：说明：“：认识*0..”表示由一个节点到达另一个节点的路径包括0个、1个或多个“认识”边。,查询年龄为29的参加了项目3的程序员参加的其他项目,,,参加的其他项目,
（5）查询年龄为29的参加了项目3的程序员参加的其他项目及其直接或间接认识的程序员参加的项目输出：说明：“：认识*0..”表示由一个节点到达另一个节点的路径包括0个、1个或多个“认识”边。,查询年龄为29的参加了项目3的程序员,,,直接或间接认识的程序员参加的项目,
（5）查询年龄为29的参加了项目3的程序员参加的其他项目及其直接或间接认识的程序员参加的项目输出：说明：“：认识*0..”表示由一个节点到达另一个节点的路径包括0个、1个或多个“认识”边。,等价,,,等价,
对比该查询的SPARQL版本。,查询的SPARQL版本。,,,对比该查询的SPARQL版本。,
3.GremlinGremlin是Apache_TinkerPop图计算框架[21]提供的属性图查询语言[22]。,Gremlin,,,属性图查询语言,
3.GremlinGremlin是Apache_TinkerPop图计算框架[21]提供的属性图查询语言[22]。,Gremlin,,,属性图查询语言,
ApacheTinkerPop被设计为访问图数据库的通用API接口，其作用类似于关系数据库上的JDBC接口。,ApacheTinkerPop,,,访问图数据库的通用API接口,
Gremlin的定位是图遍历语言，其执行机制好比是一个人置身于图中沿着有向边，从一个节点到另一个节点进行导航式的游走。,Gremlin,,,图遍历语言,
Gremlin的定位是图遍历语言，其执行机制好比是一个人置身于图中沿着有向边，从一个节点到另一个节点进行导航式的游走。,Gremlin,,,图遍历语言,
这种执行方式决定了用户使用Gremlin需要指明具体的导航步骤，这和自己驾驶汽车到一个目的地需要知道行车路线是一个道理，所以将Gremlin归为过程式语言，即需要明确“怎么做”。,Gremlin,,,过程式语言,
