input,subject,subject_type,relation,object,object_type
第9章知识图谱应用案例王昊奋上海乐言信息科技有限公司，丁军华东理工大学知识图谱用以描述现实世界中的概念、实体以及它们之间丰富的关联关系。,知识图谱,,,描述现实世界中的概念、实体以及它们之间丰富的关联关系,
自从2012年谷歌公司利用知识图谱改善搜索体验并提高搜索质量后，引起了社会各界纷纷关注。,知识图谱,,,谷歌公司改善搜索体验并提高搜索质量,
通用知识图谱可以形象地看成一个面向通用领域的“结构化的百科知识库”，其中包含了现实世界中的大量常识，覆盖面极广。,通用知识图谱,,,面向通用领域的“结构化的百科知识库”,
领域知识图谱又称为行业知识图谱或垂直知识图谱，通常面向某一特定领域。,领域知识图谱,,,面向某一特定领域,
领域知识图谱基于行业数据构建，通常有着严格而丰富的数据模式，对该领域知识的深度、准确性有着更高的要求。,领域知识图谱,,,基于行业数据构建,
本章重点介绍领域知识图谱的构建方法及系列应用案例。,本章,,,领域知识图谱的构建方法及系列应用案例,
9.1领域知识图谱构建的技术流程由于现实世界的知识丰富多样且极其庞杂，通用知识图谱主要强调知识的广度，通常运用百科数据进行自底向上的方法进行构建。,领域知识图谱构建的技术流程,,,自底向上的方法进行构建,
虽然如此，领域知识图谱与通用知识图谱的构建与应用也并非完全没有互通之处，如图9-1所示，其从无到有的构建过程可分为六个阶段，被称为领域知识图谱的生命周期[1]。,领域知识图谱的构建与应用,,,domain knowledge graph,
本节以生命周期为视角来阐述领域知识图谱构建过程中的关键技术流程。,本节,,,生命周期为视角来阐述领域知识图谱构建过程中的关键技术流程,
图9-1领域知识图谱生命周期9.1.1领域知识建模知识建模是建立知识图谱的概念模式的过程，相当于关系数据库的表结构定义。,领域知识建模,,,建立知识图谱的概念模式的过程,
为了对知识进行合理的组织，更好地描述知识本身与知识之间的关联，需要对知识图谱的模式进行良好的定义。,知识图谱的模式,,,对知识进行合理的组织，更好地描述知识本身与知识之间的关联,
一般来说，相同的数据可以有若干种模式定义的方法，设计良好的模式可以减少数据的冗余，提高应用效率。,模式定义,,,相同的数据可以有若干种模式定义的方法,
一般来说，相同的数据可以有若干种模式定义的方法，设计良好的模式可以减少数据的冗余，提高应用效率。,模式,,,model,
因此，在进行知识建模时，需要结合数据特点与应用特点来完成模式的定义。,知识建模,,,进行模式的定义,
知识建模通常采用两种方式：一种是自顶向下（Top-Down）的方法，即首先为知识图谱定义数据模式，数据模式从最顶层概念构建，逐步向下细化，形成结构良好的分类学层次，然后再将实体添加到概念中。,知识建模,,,自顶向下（Top-Down）的方法,
知识建模通常采用两种方式：一种是自顶向下（Top-Down）的方法，即首先为知识图谱定义数据模式，数据模式从最顶层概念构建，逐步向下细化，形成结构良好的分类学层次，然后再将实体添加到概念中。,自顶向下,,,Top-Down,
另一种则是自底向上（Bottom-Up）的方法，即首先对实体进行归纳组织，形成底层概念，然后逐步往上抽象，形成上层概念。,自底向上,,,自底向上方法,
另一种则是自底向上（Bottom-Up）的方法，即首先对实体进行归纳组织，形成底层概念，然后逐步往上抽象，形成上层概念。,自底向上,,,Bottom-Up,
该方法可基于行业现有标准转换生成数据模式，也可基于高质量行业数据源映射生成。,方法,,,基于行业现有标准转换生成数据模式,
该方法可基于行业现有标准转换生成数据模式，也可基于高质量行业数据源映射生成。,方法,,,基于高质量行业数据源映射生成,
该方法可基于行业现有标准转换生成数据模式，也可基于高质量行业数据源映射生成。,基于行业现有标准转换生成数据模式,,,based on industry existing standard conversion generation data mode,
该方法可基于行业现有标准转换生成数据模式，也可基于高质量行业数据源映射生成。,基于高质量行业数据源映射生成,,,based on high-quality industry data source mapping generation,
为了保证知识图谱质量，通常在建模时需要考虑以下几个关键问题：1）概念划分的合理性，如何描述知识体系及知识点之间的关联关系[1]；2）属性定义方式，如何在冗余程度最低的条件下满足应用和可视化展现；3）事件、时序等复杂知识表示，通过匿名节点的方法还是边属性的方法来进行描述，各自的优缺点是什么[2]；4）后续的知识扩展难度，能否支持概念体系的变更以及属性的调整。,概念划分的合理性,,,描述知识体系及知识点之间的关联关系,
为了保证知识图谱质量，通常在建模时需要考虑以下几个关键问题：1）概念划分的合理性，如何描述知识体系及知识点之间的关联关系[1]；2）属性定义方式，如何在冗余程度最低的条件下满足应用和可视化展现；3）事件、时序等复杂知识表示，通过匿名节点的方法还是边属性的方法来进行描述，各自的优缺点是什么[2]；4）后续的知识扩展难度，能否支持概念体系的变更以及属性的调整。,属性定义方式,,,在冗余程度最低的条件下满足应用和可视化展现,
为了保证知识图谱质量，通常在建模时需要考虑以下几个关键问题：1）概念划分的合理性，如何描述知识体系及知识点之间的关联关系[1]；2）属性定义方式，如何在冗余程度最低的条件下满足应用和可视化展现；3）事件、时序等复杂知识表示，通过匿名节点的方法还是边属性的方法来进行描述，各自的优缺点是什么[2]；4）后续的知识扩展难度，能否支持概念体系的变更以及属性的调整。,事件、时序等复杂知识表示,,,通过匿名节点的方法还是边属性的方法来进行描述，各自的优缺点是什么,
关于知识建模的详细知识和技术，请参考本书第2章。,知识建模的详细知识,,,本书第2章,
9.1.2知识存储知识存储，顾名思义为针对构建完成的知识图谱设计底层存储方式，完成各类知识的存储，包括基本属性知识、关联知识、事件知识、时序知识、资源类知识等。,知识存储,,,针对构建完成的知识图谱设计底层存储方式，完成各类知识的存储,
知识存储方案的优劣会直接影响查询的效率，同时也需要结合知识应用场景进行良好的设计。,知识存储方案的优劣,,,查询的效率,
目前，主流的知识存储解决方案包括单一式存储和混合式存储两种。,知识存储解决方案,,,单一式存储,
目前，主流的知识存储解决方案包括单一式存储和混合式存储两种。,知识存储解决方案,,,混合式存储,
在单一式存储中，可以通过三元组、属性表或者垂直分割等方式进行知识的存储[3]。,单一式存储,,,知识的存储,
在单一式存储中，可以通过三元组、属性表或者垂直分割等方式进行知识的存储[3]。,单一式存储,,,三元组、属性表或者垂直分割等方式进行知识的存储,
其中，三元组的存储方式较为直观，但在进行连接查询时开销巨大[4]。,三元组的存储方式,,,进行连接查询时开销巨大,
其中，三元组的存储方式较为直观，但在进行连接查询时开销巨大[4]。,三元组的存储方式,,,triple storage,
属性表指基于主语的类型划分数据表，其缺点是不利于缺失属性的查询[5]。,属性表,,,基于主语的类型划分数据表,
属性表指基于主语的类型划分数据表，其缺点是不利于缺失属性的查询[5]。,属性表的缺点,,,基于主语的类型划分数据表,
垂直分割指基于谓词进行数据的划分，其缺点是数据表过多，且写操作的代价比较大[6]。,垂直分割,,,基于谓词进行数据的划分,
垂直分割指基于谓词进行数据的划分，其缺点是数据表过多，且写操作的代价比较大[6]。,垂直分割,,,基于谓词进行数据的划分,
对于知识存储介质的选择，可以分为原生（Neo4j、AllegroGraph等）和基于现有数据库（MySQL、Mongo等）两类。,知识存储介质的选择,,,原生,
对于知识存储介质的选择，可以分为原生（Neo4j、AllegroGraph等）和基于现有数据库（MySQL、Mongo等）两类。,知识存储介质的选择,,,基于现有数据库,
对于知识存储介质的选择，可以分为原生（Neo4j、AllegroGraph等）和基于现有数据库（MySQL、Mongo等）两类。,知识存储介质的选择,,,原生,
对于知识存储介质的选择，可以分为原生（Neo4j、AllegroGraph等）和基于现有数据库（MySQL、Mongo等）两类。,知识存储介质的选择,,,基于现有数据库,
原生存储的优点是其本身已经提供了较为完善的图查询语言或算法的支持，但不支持定制，灵活程度不高，对于复杂节点等极端数据情况的表现非常差。,原生存储,,,不支持定制，灵活程度不高，对于复杂节点等极端数据情况的表现非常差,
原生存储的优点是其本身已经提供了较为完善的图查询语言或算法的支持，但不支持定制，灵活程度不高，对于复杂节点等极端数据情况的表现非常差。,原生存储,,,原生存储,
因此，有了基于现有数据库的自定义方案，这样做的好处是自由程度高，可以根据数据特点进行知识的划分、索引的构建等，但增加了开发和维护成本。,基于现有数据库的自定义方案,,,自由程度高，可以根据数据特点进行知识的划分、索引的构建等,
因此，有了基于现有数据库的自定义方案，这样做的好处是自由程度高，可以根据数据特点进行知识的划分、索引的构建等，但增加了开发和维护成本。,基于现有数据库的自定义方案,,,基于现有数据库的自定义方案,
从上述介绍中可以得知，目前尚没有一个统一的可以实现所有类型知识存储的方式。,知识存储方式,,,目前尚没有一个统一的可以实现所有类型知识存储的方式,
从上述介绍中可以得知，目前尚没有一个统一的可以实现所有类型知识存储的方式。,知识存储方式,,,等价,
因此，如何根据自身知识的特点选择知识存储方案，或者进行存储方案的结合，以满足针对知识的应用需要，是知识存储过程中需要解决的关键问题。,知识存储过程中需要解决的关键问题,,,如何选择知识存储方案，或者进行存储方案的结合,
因此，如何根据自身知识的特点选择知识存储方案，或者进行存储方案的结合，以满足针对知识的应用需要，是知识存储过程中需要解决的关键问题。,知识存储方案,,,等价存储,
关于知识存储的详细知识与技术，请参考本书第3章。,知识存储的详细知识,,,本书第3章,
9.1.3知识抽取知识抽取是指从不同来源、不同数据中进行知识提取，形成知识并存入知识图谱的过程。,知识抽取,,,知识提取形成知识并存入知识图谱的过程。,
由于真实世界中的数据类型及介质多种多样，所以如何高效、稳定地从不同的数据源进行数据接入至关重要，其会直接影响到知识图谱中数据的规模、实时性及有效性。,数据接入,,,高效、稳定地从不同的数据源进行数据接入,
结构化数据中会存在一些复杂关系，针对这类关系的抽取是此类研究的重点，主要方法包括直接映射或者映射规则定义等；半结构化数据通常采用包装器的方式对网站进行解析，包装器是一个针对目标数据源中的数据制定了抽取规则的计算机程序。,结构化数据中会存在一些复杂关系,,,针对这类关系的抽取,
结构化数据中会存在一些复杂关系，针对这类关系的抽取是此类研究的重点，主要方法包括直接映射或者映射规则定义等；半结构化数据通常采用包装器的方式对网站进行解析，包装器是一个针对目标数据源中的数据制定了抽取规则的计算机程序。,等价,,,equivalence,
结构化数据中会存在一些复杂关系，针对这类关系的抽取是此类研究的重点，主要方法包括直接映射或者映射规则定义等；半结构化数据通常采用包装器的方式对网站进行解析，包装器是一个针对目标数据源中的数据制定了抽取规则的计算机程序。,半结构化数据,,,包装器,
包装器的定义、自动生成以及如何对包装器进行更新及维护以应对网站的变更，是当前获取需要考虑的问题；非结构化数据抽取难度最大，如何保证抽取的准确率和覆盖率是这类数据进行知识获取需要考虑的科学问题。,非结构化数据抽取,,,知识获取,
包装器的定义、自动生成以及如何对包装器进行更新及维护以应对网站的变更，是当前获取需要考虑的问题；非结构化数据抽取难度最大，如何保证抽取的准确率和覆盖率是这类数据进行知识获取需要考虑的科学问题。,非结构化数据抽取,,,non-structured data extraction,
关于知识抽取的详细知识和技术，请参考本书第4章。,知识抽取的详细知识,,,本书第4章,
9.1.4知识融合知识融合指将不同来源的知识进行对齐、合并的工作，形成全局统一的知识标识和关联。,知识融合,,,将不同来源的知识进行对齐、合并的工作，形成全局统一的知识标识和关联,
知识融合是知识图谱构建中不可缺少的一环，知识融合体现了开放链接数据中互联的思想。,知识融合,,,知识图谱构建,
